starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	2	11	14	11
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	3	11	14	11
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	11
Sat Jul 24 22:58:21 2021	1627131501	0	14	14	14
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	12
Sat Jul 24 22:58:21 2021	1627131501	0	14	14	14
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	2	12	14	11
Sat Jul 24 22:58:22 2021	1627131502	4	10	14	9
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	2	12	14	10
Sat Jul 24 22:58:21 2021	1627131501	2	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:22 2021	1627131502	1	14	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	13	14	12
Sat Jul 24 22:58:21 2021	1627131501	5	10	14	9
Sat Jul 24 22:58:22 2021	1627131502	4	10	14	9
Sat Jul 24 22:58:22 2021	1627131502	2	12	14	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	14	14
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	14	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	14	14
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:22 2021	1627131502	1	14	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	14	14	14
Sat Jul 24 22:58:21 2021	1627131501	3	12	15	12
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	2	12	15	12
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	2	12	15	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	2	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	1	13	15	13
Sat Jul 24 22:58:22 2021	1627131502	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	13
Sat Jul 24 22:58:22 2021	1627131502	2	13	15	13
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	0	14	15	14
Sat Jul 24 22:58:22 2021	1627131502	5	10	15	10
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
Sat Jul 24 22:58:21 2021	1627131501	1	14	15	14
